ERS8392374	93935265	18982430
ERS8392375	75858888	15696556
ERS8392377	35521828	7204972
ERS8392378	32418730	6965856
ERS8392381	47660444	14901929
ERS8392382	92600828	20678635
ERS8392384	47924813	12021872
ERS8392386	30292587	5673537
ERS8392387	31039051	7958753
ERS8392388	65111357	12829845
ERS8392389	23417153	10341264
ERS8392391	28448951	5743127
ERS8392393	33548658	14195690
ERS8392398	52741883	9454721
ERS8392399	55549354	21671320
ERS8392410	170474215	30663249
ERS8392413	77995009	23160275
ERS8392415	72742918	15812533
ERS8392417	28731057	6433869
ERS8392420	89047653	12662771
ERS8392428	39625729	8917035
ERS8392431	105956766	11718792
ERS8392432	35427660	219836226
ERS8392442	61614837	6990848
ERS8392444	38065997	7978427
ERS8392445	189631910	41888186
ERS8392449	42929344	9033064
ERS8392452	71507792	19698042
ERS8392455	36317796	8828764
ERS8392464	57706439	6233874
ERS8392473	41632861	10740747
ERS8392475	24988395	11384661
ERS8392478	63298466	25867316
ERS8392484	59136708	6753054
ERS8392485	27251623	10023638
ERS8392492	70707065	19693830
ERS8392496	50854841	12260541
ERS8392497	51091881	13625280
ERS8392498	34680545	8861333
ERS8392502	80755009	16114355
ERS8392504	42674829	7406891
ERS8392508	65673113	18158665
ERS8392510	24430305	6314330
ERS8392511	58384959	9544725
ERS8392512	50978633	11266864
ERS8392515	43304255	13709538
ERS8392517	45079108	7859372
ERS8392520	65657139	15698142
ERS8392521	30942306	7439863
ERS8392523	48197549	9735281
ERS8392527	104627370	24626960
ERS8392528	36390246	8820017
ERS8392529	72510052	16824757
ERS8392532	120166207	40779813
ERS8392533	70797483	15393938
ERS8392536	68590221	18795298
ERS8392538	97670801	20034823
ERS8392539	95322704	27540526
ERS8392542	20526607	10471265
ERS8392549	45755828	9111911
ERS8392567	60803120	13285665
ERS8392568	67545777	12703466
ERS8392573	59350805	14536614
ERS8392576	83203775	16017602
ERS8392579	40731581	11217153
ERS8392582	35027541	8708109
ERS8392583	38888367	7498054
ERS8392584	48591810	17137786
ERS8392589	38497277	8430801
ERS8392590	51111405	14446783
ERS8392592	168062444	47771371
ERS8392601	24649806	6663962
ERS8392605	67569330	12835305
ERS8392611	63652436	8903844
ERS8392613	39998226	11363473
ERS8392620	35785567	8482245
ERS8392622	29911828	8277455
ERS8392630	27769806	6577867
ERS8392631	92294733	27130332
ERS8392640	128806875	35722734
ERS8392648	58385226	10178655
ERS8392652	199798843	66317669
ERS8392657	122389462	19544016
ERS8392659	49871594	8654035
ERS8392663	70495670	13625737
ERS8392668	35844525	6225778
ERS8392669	31119748	6476003
ERS8392670	106605971	28348570
ERS8392673	54315231	13808874
ERS8392684	33579673	6515902
ERS8392686	29964745	6525269
ERS8392688	28648985	5418221
ERS8392694	25531112	8375400
ERS8392702	30955256	3912087
ERS8392704	43535816	15872662
ERS8392705	62445320	14485073
ERS8392707	33073791	5226090
ERS8392708	90055316	35296601
ERS8392710	33438059	11063435
ERS8392711	29098267	5432882
ERS8392714	31165398	11047760
ERS8392715	81335684	26024031
ERS8392716	127732926	34958661
