NODE_1_length_642791_cov_32.506726|genomad|mod_calc|ERS3395767	NODE_1_length_642791_cov_32.506726|genomad|mod_calc|ERS3395767
NODE_4_length_556486_cov_100.384029|genomad|cmc|CMC006.B	NODE_4_length_556486_cov_100.384029|genomad|cmc|CMC006.B
NODE_1_length_546367_cov_631.943924|genomad|cmc|CMC002.B	NODE_1_length_546367_cov_631.943924|genomad|cmc|CMC002.B
NODE_2_length_438754_cov_321.224951|genomad|cmc|CMC038.B	NODE_2_length_438754_cov_321.224951|genomad|cmc|CMC038.B
NODE_3_length_413662_cov_95.9|genomad|anc_calc|ERS6955150	NODE_3_length_413662_cov_95.9|genomad|anc_calc|ERS6955150
NODE_1_length_404008_cov_112.285492|genomad|cmc|CMC008.B	NODE_1_length_404008_cov_112.285492|genomad|cmc|CMC008.B
NODE_5_length_399601_cov_20.514715|genomad|cmc|CMC006.B	NODE_5_length_399601_cov_20.514715|genomad|cmc|CMC006.B
phage_comp_468_cycle_1|phables|cmc|CMC038.A	phage_comp_468_cycle_1|phables|cmc|CMC038.A,NODE_4_length_384467_cov_43.401257|genomad|cmc|CMC038.A
NODE_3_length_373058_cov_157.329596|genomad|cmc|CMC030.B	NODE_3_length_373058_cov_157.329596|genomad|cmc|CMC030.B
NODE_5_length_357009_cov_58.252678|genomad|cmc|CMC035.B	NODE_5_length_357009_cov_58.252678|genomad|cmc|CMC035.B
NODE_1_length_353196_cov_16.559092|genomad|cmc|CMC025.B	NODE_1_length_353196_cov_16.559092|genomad|cmc|CMC025.B
NODE_1_length_351857_cov_182.573734|genomad|cmc|CMC004.B	NODE_1_length_351857_cov_182.573734|genomad|cmc|CMC004.B,NODE_1_length_264835_cov_18.693452|genomad|cmc|CMC027.B,NODE_11_length_251244_cov_14.852453|genomad|cmc|CMC038.A
NODE_1_length_350705_cov_323.5|genomad|anc_calc|SRS473746	NODE_1_length_350705_cov_323.5|genomad|anc_calc|SRS473746
NODE_3_length_348452_cov_49.609553|genomad|cmc|CMC005.B	NODE_3_length_348452_cov_49.609553|genomad|cmc|CMC005.B
NODE_2_length_347887_cov_27.819384|genomad|cmc|CMC007.B	NODE_2_length_347887_cov_27.819384|genomad|cmc|CMC007.B
NODE_2_length_346629_cov_34.655671|genomad|cmc|CMC045.B	NODE_2_length_346629_cov_34.655671|genomad|cmc|CMC045.B
NODE_7_length_342511_cov_86.955428|genomad|cmc|CMC006.B	NODE_7_length_342511_cov_86.955428|genomad|cmc|CMC006.B
NODE_2_length_334777_cov_14.934129|genomad|cmc|CMC042.B	NODE_2_length_334777_cov_14.934129|genomad|cmc|CMC042.B
NODE_1_length_329079_cov_205.1|genomad|anc_calc|SRS6212651	NODE_1_length_329079_cov_205.1|genomad|anc_calc|SRS6212651,NODE_16_length_72306_cov_206.7|genomad|anc_calc|SRS15300794
NODE_2_length_328854_cov_64.877345|genomad|cmc|CMC009.B	NODE_2_length_328854_cov_64.877345|genomad|cmc|CMC009.B
NODE_3_length_325542_cov_404.379236|genomad|cmc|CMC009.B	NODE_3_length_325542_cov_404.379236|genomad|cmc|CMC009.B
NODE_3_length_319603_cov_32.391768|genomad|cmc|CMC040.B	NODE_3_length_319603_cov_32.391768|genomad|cmc|CMC040.B
NODE_5_length_308852_cov_22.751599|genomad|cmc|CMC036.B	NODE_5_length_308852_cov_22.751599|genomad|cmc|CMC036.B
NODE_1_length_298575_cov_9.872391|genomad|cmc|CMC021.B	NODE_1_length_298575_cov_9.872391|genomad|cmc|CMC021.B
NODE_5_length_287506_cov_25.490044|genomad|cmc|CMC043.B	NODE_5_length_287506_cov_25.490044|genomad|cmc|CMC043.B
NODE_6_length_282975_cov_123.944217|genomad|cmc|CMC037.B	NODE_6_length_282975_cov_123.944217|genomad|cmc|CMC037.B
NODE_1_length_280614_cov_179.5|genomad|anc_calc|ERS2985744	NODE_1_length_280614_cov_179.5|genomad|anc_calc|ERS2985744,NODE_1_length_142758_cov_51.3|genomad|anc_calc|SRS3078139,NODE_12_length_36615_cov_35.3|genomad|anc_calc|ERS11702779,NODE_35_length_26573_cov_47.4|genomad|anc_calc|ERS11702762,NODE_14_length_36721_cov_243.1|genomad|anc_calc|SRS6212654,NODE_188_length_25083_cov_134.4|genomad|anc_calc|ERS6256699
NODE_6_length_276358_cov_31.904438|genomad|cmc|CMC018.B	NODE_6_length_276358_cov_31.904438|genomad|cmc|CMC018.B
phage_comp_66_cycle_1|phables|anc_calc|ERS6955177	phage_comp_66_cycle_1|phables|anc_calc|ERS6955177,NODE_3_length_268928_cov_29.4|genomad|anc_calc|ERS6955177
NODE_5_length_267058_cov_177.920897|genomad|cmc|CMC029.B	NODE_5_length_267058_cov_177.920897|genomad|cmc|CMC029.B,NODE_52_length_115962_cov_75.996298|genomad|cmc|CMC026.B,NODE_47_length_92239_cov_36.839782|genomad|cmc|CMC015.B
NODE_10_length_264655_cov_38.547604|genomad|cmc|CMC036.B	NODE_10_length_264655_cov_38.547604|genomad|cmc|CMC036.B
